folder,filename,filepath,raw_text,clean_text,label
Bank Statement,1.jpg,dataset\Bank Statement\1.jpg,"A's BANK

STATEMENT BETWEEN 01/04/2019 AND 30/04/2019 FOR A/C: 918020087855304

(589)

MS. INNOVAGION AIR CONDITIONING

KH. NO 27! 8-69 UDAY VIHAR
NILOTHIEXTN,, WEST OELMI DELHI

POOJA DAIRY
DELHI DELHI
NO

PIN: 110081

‘SCHEME CODE ‘OA- LARGE RETAILERS AND
DISTRIBUTORS

‘CUSTOMER 1D 985641520

CURRENCY. CODE INR,

(WEN AMOUNT 0.00

NOMINATION DETAILS — : NOMINATION REGISTERED

‘Tran Date | Value Date | Transaction Details [ohq. NoJAmount (in Rs.)JOr/Cr] Balance (ins) [Branch Name
TOOTS | TOONS 7] TORR NAGAR
raoazore | 19082010 | 3202881 | TILAK NAGAR
rsoa2or8 [ 19082019 7500.00] Dr 0438.81 TILAK NAGAR
TTOE2OTO_|_17OUZOTO. T2005.00] — Or 7432.91] TAK NAGAR
[enoxeors | eooazore 710000.00] — or Bio | —TICAR NAGAR
zooazore | 20082019 26800.00] 0 Tes2.91 | TAK NAGAR
zooazore | 220a2019 448.00] 0 ‘91[ TILAK NAGAR
| 2042010 | -2570472019_ [RTGSIICIGHTOTIS9077S5SUZUKIMOTO. ""3E2TO0.00| — cr Besse. 91| GANGA Pa]
GEOEGOIS | SO10W/G0TO |NEFTINGIANNETSTTOO Sa06DIchots 7511.00] Or 2ans7s01] MONGAIFORT
25042018 [20/04/2019 |NEFTMEVAXME1611907@0861/Gurmest 7750000.00 Dr 73957391 | BHAWANIPATIT
zaoaz019 | 207042019 |MOBISELFFTISURJEET SINGH/S130100 Dy 190373.91 | — TILAK NAGAR
LI T-SIe VIRASPURIOELATIOO 7

TOOTS | GOONS oy TISESBOT] — TILAK NAGAR.

TRANSACTION TOTAL DRICR: 309687.00

CLOSING BALANCE : ane

11596801

","as bank statement between 01/04/2019 and 30/04/2019 for a/c: 918020087855304 589 ms. innovagion air conditioning kh. no 27 8-69 uday vihar nilothiextn,, west oelmi delhi pooja dairy delhi delhi no pin: 110081 scheme code oa- large retailers and distributors customer 1d 985641520 currency. code inr, wen amount 0.00 nomination details : nomination registered tran date value date transaction details ohq. nojamount in rs.jor/cr balance ins branch name toots toons 7 torr nagar raoazore 19082010 3202881 tilak nagar rsoa2or8 19082019 7500.00 dr 0438.81 tilak nagar ttoe2oto17ouzoto. t2005.00 or 7432.91 tak nagar enoxeors eooazore 710000.00 or bio ticar nagar zooazore 20082019 26800.00 0 tes2.91 tak nagar zooazore 220a2019 448.00 0 91 tilak nagar 2042010 -2570472019 rtgsiicightotis9077s5suzukimoto. 3e2to0.00 cr besse. 91 ganga pa geoegois so10w/g0to neftingiannetsttoo sa06dichots 7511.00 or 2ans7s01 mongaifort 25042018 20/04/2019 neftmevaxme16119070861/gurmest 7750000.00 dr 73957391 bhawanipatit zaoaz019 207042019 mobiselfftisurjeet singh/s130100 dy 190373.91 tilak nagar li t-sie viraspurioelatioo 7 toots goons oy tisesbot tilak nagar. transaction total dricr: 309687.00 closing balance : ane 11596801",Bank Statement
Bank Statement,10.jpg,dataset\Bank Statement\10.jpg,"231 Valley Farms Street
Santa Monica, CA 90403 STATEMENT OF ACCOUNT

example@email.com

‘Account Number: 111-234-567-890

‘Statement Date: MM/DD/YYYY Page 1 of 1
Period Covered: NMVDOPYYY to
John Smith Opening Balance: 175,800.00
2450 courage St STE 108 Totalceit Amount 51000000
Brownsvile, TX 78524 Total Debt Amount. 9400000
Closing Balance: 591,800
Branch Name> Account Type: Catent Account
Transactions
Date Desipton Gredt Debt Balance
MMIDOWYYY Payment - Crt Card 540000 17040000
MMIDOPYYYY Payment Insurance 300000 167,400.00
M”DOrrYYY —_Aecount Taser In $00.000.00 667 40000
MuyDONNYYY Cheque Deposit 10,000.00 677 40000
MMIDOYYYYY Payment Eetiy 130000 67520000
Mu”DorrrYY Payment ater Us 60000 675 30000
MMIDONYYY Payment -Car oan 350000 671,800.00
MM”DOMYYYY —Aecount Transfer Out socoo00 _591.80060

End of Transactions —

","231 valley farms street santa monica, ca 90403 statement of account exampleemail.com account number: 111-234-567-890 statement date: mm/dd/yyyy page 1 of 1 period covered: nmvdopyyy to john smith opening balance: 175,800.00 2450 courage st ste 108 totalceit amount 51000000 brownsvile, tx 78524 total debt amount. 9400000 closing balance: 591,800 branch name account type: catent account transactions date desipton gredt debt balance mmidowyyy payment - crt card 540000 17040000 mmidopyyyy payment insurance 300000 167,400.00 mdorryyy aecount taser in 00.000.00 667 40000 muydonnyyy cheque deposit 10,000.00 677 40000 mmidoyyyyy payment eetiy 130000 67520000 mudorrryy payment ater us 60000 675 30000 mmidonyyy payment -car oan 350000 671,800.00 mmdomyyyy aecount transfer out socoo00 591.80060 end of transactions",Bank Statement
Bank Statement,11.jpg,dataset\Bank Statement\11.jpg,"Jan 7, 2022 Page 2 of 5

Overdraft Protection
This account is not currently covered by Overdraft Protection. If you would like more information regarding Overdraft Protection and eligibility requirements
please call the number listed on your statement or visit your Bank Plus branch

BankPius

It's more than a name. It's a promise:

Transaction history

Dates
01/12
01/12
01/12
02/12
02/2

03/12
04/12
04/12
05/12

05/12
06/12
06/12
07/12
08/12
08/12
09/12
10/12
112
11/12
13/12
14/12
15/12

15/12
16/12
16/12
17/2
ATN2
08/12

19/12
19/12

20/12
20/12

21/12
21/12

21/12

22/12

22/12

Reference Number

054368486BKLGJ1J3
0543684832X63KP74
051404884LYROY8N1
054368486BLKGJ1J3

554838286BLH012SM
054368487 EHTSK3WM
5543286875SP18VSL
5543286885SRSSXJ4

0543684888PKLVLXS
5526352892LROEN5R
55417348A4E5RBXMW
55432868B5SMGSQ09
05436848A8PKT1TRO
05486808QB019G7P5
82305098B00023ZYG
02305378BOOFVNT77
55419378QKQE2RREW
55419378QKQE2RRF4
55310208B5SZYHKDE
05436848D009FHZ74
05436848D8PKSRBHK

05436848D8PKSBRHK
55263528DLAJONJAX
55263528DRBGHED1E
55263528DRBGEHD1E
02305378BOOFNVT77
85586688H36HHRVS5S

55421358HVAMES074
85486148LWGPDJJXO

85486148LWGPJDJXO
55263528DLAJOJNAX

55432868K5SZ4AFKW
52707158KO9FM9EP4

82711168K0002WETQ

82711168K0002W2MB

55453708L173NATBD

Description Credits

ACCELERATED SERVICES LLC DD 2,307.69
WENDYS #21300 RIDGELAND MS
RAMEY'S #8 BRANDON MS.

WM SUPERCENTER #2720
MADISON MS

WAL-MART #2720 MADISON MS
WENDYS #22800 MADISON MS
SHELL 0357306 JACKSON MS
PUBLIC STORAGE 08052
800-567-0759 GA.

SHELL #5388 BRANDON MS
POPEYES 12013 COTTONDALE AL
C SPIRE MADISON MADISON MS.
CHEVRON 0205563 MADISON MS 2.66
GOLDEN CORRAL 0682 FLOWOOD MS
SHELL 99182289 FLOWOOD MS.

NAV TECH 855-226-8388 DRAPER UT
AUTOZONE #2304 CANTON MS
VERIZON WRLS P1688-01FLOWOOD MS.
VERIZON WRLS P1688-01 FLOWOOD MS.
WAFFLE HOUSE 1573 BRANDON MS.
DOLLARTREE JACKSON MS

B&B THEATRE RIDGELAND

RIDGELAND MS

ACCELERATED SERVICES LLC DD 2,307.69
RAISING CANE'S #30 RIDGELAND MS

FAMILY DOLLAR #3506 CANTON MS.

POS RECURRING DEBIT ATMOS UTILITIES
EXPERIAN CREDIT REPORT

CITI ONLINE PAYMENT WEST
DES MOIN

MCW867-I-55 JACKSON MS.
MADISON FINE WINE AND
CANTON MS

POS RECURRING DEBIT AT&T
POS RECURRING TMX* TERMINIX
INTL 18008376464

SHELL # 23421 BRANDON MS
THE HOME DEPOT #2902
JACKSON MS

SITEGROUND HOSTING
ALEXANDRIA VA

SITEGROUND HOSTING
ALEXANDRIA VA

ADVANCE AUTO PARTS #53 8.54
RIDGELAND MS

73.83

30.21

50.01

Charges

7.87
126.13

53.37
4.28
55.00
250.20

40.00
23.42
156.00

54.98
45.55

39.99
14.97

75.00
88.25
19.80

65.85
90.10
17.12
210.32
24.99
1,000.00

70.00
68.46

403.35
69.55
29.16
29.99

17.99

Balance
61,739.97
64,047.66
64,039.79
63,913.66
63,987.49

63,934.12
63,929.84
63,874.84
63,624.64

63,584.64
63,561.22
63,405.22
63,407.88
63,352.90
63,307.35
63,267.36
63,252.39
63,177.39
63,089.14
63,069.34
63,099.55
63,033.70

65,341.39
65,251.29
65,234.17
65,023.85
64,998.86
63,998.86

63,928.86
63,860.40

63,457.05
63,387.50

63,437.51
63,408.35

63,378.36
63,360.37

63,368.91
","jan 7, 2022 page 2 of 5 overdraft protection this account is not currently covered by overdraft protection. if you would like more information regarding overdraft protection and eligibility requirements please call the number listed on your statement or visit your bank plus branch bankpius its more than a name. its a promise: transaction history dates 01/12 01/12 01/12 02/12 02/2 03/12 04/12 04/12 05/12 05/12 06/12 06/12 07/12 08/12 08/12 09/12 10/12 112 11/12 13/12 14/12 15/12 15/12 16/12 16/12 17/2 atn2 08/12 19/12 19/12 20/12 20/12 21/12 21/12 21/12 22/12 22/12 reference number 054368486bklgj1j3 0543684832x63kp74 051404884lyroy8n1 054368486blkgj1j3 554838286blh012sm 054368487 ehtsk3wm 5543286875sp18vsl 5543286885srssxj4 0543684888pklvlxs 5526352892lroen5r 55417348a4e5rbxmw 55432868b5smgsq09 05436848a8pkt1tro 05486808qb019g7p5 82305098b00023zyg 02305378boofvnt77 55419378qkqe2rrew 55419378qkqe2rrf4 55310208b5szyhkde 05436848d009fhz74 05436848d8pksrbhk 05436848d8pksbrhk 55263528dlajonjax 55263528drbghed1e 55263528drbgehd1e 02305378boofnvt77 85586688h36hhrvs5s 55421358hvames074 85486148lwgpdjjxo 85486148lwgpjdjxo 55263528dlajojnax 55432868k5sz4afkw 52707158ko9fm9ep4 82711168k0002wetq 82711168k0002w2mb 55453708l173natbd description credits accelerated services llc dd 2,307.69 wendys 21300 ridgeland ms rameys 8 brandon ms. wm supercenter 2720 madison ms wal-mart 2720 madison ms wendys 22800 madison ms shell 0357306 jackson ms public storage 08052 800-567-0759 ga. shell 5388 brandon ms popeyes 12013 cottondale al c spire madison madison ms. chevron 0205563 madison ms 2.66 golden corral 0682 flowood ms shell 99182289 flowood ms. nav tech 855-226-8388 draper ut autozone 2304 canton ms verizon wrls p1688-01flowood ms. verizon wrls p1688-01 flowood ms. waffle house 1573 brandon ms. dollartree jackson ms bb theatre ridgeland ridgeland ms accelerated services llc dd 2,307.69 raising canes 30 ridgeland ms family dollar 3506 canton ms. pos recurring debit atmos utilities experian credit report citi online payment west des moin mcw867-i-55 jackson ms. madison fine wine and canton ms pos recurring debit att pos recurring tmx terminix intl 18008376464 shell 23421 brandon ms the home depot 2902 jackson ms siteground hosting alexandria va siteground hosting alexandria va advance auto parts 53 8.54 ridgeland ms 73.83 30.21 50.01 charges 7.87 126.13 53.37 4.28 55.00 250.20 40.00 23.42 156.00 54.98 45.55 39.99 14.97 75.00 88.25 19.80 65.85 90.10 17.12 210.32 24.99 1,000.00 70.00 68.46 403.35 69.55 29.16 29.99 17.99 balance 61,739.97 64,047.66 64,039.79 63,913.66 63,987.49 63,934.12 63,929.84 63,874.84 63,624.64 63,584.64 63,561.22 63,405.22 63,407.88 63,352.90 63,307.35 63,267.36 63,252.39 63,177.39 63,089.14 63,069.34 63,099.55 63,033.70 65,341.39 65,251.29 65,234.17 65,023.85 64,998.86 63,998.86 63,928.86 63,860.40 63,457.05 63,387.50 63,437.51 63,408.35 63,378.36 63,360.37 63,368.91",Bank Statement
Bank Statement,12.jpg,dataset\Bank Statement\12.jpg,"© pore

29nov2017 BY CASH2050NASTRAL 200000 2000.00

o2san2018 ewoR4os0s/oPRH nese 10000 1900 00

rafe52018 Iner7952017/5101-2018 200 ssr200

624-2018 1960036696) 70000 rz200

a aeezo1e suschargeeaocTi79¢C17+ 770 119420
csreien

oaey2018 \ ups/menarza189sasso/tio sunso so000 160420
",pore 29nov2017 by cash2050nastral 200000 2000.00 o2san2018 ewor4os0s/oprh nese 10000 1900 00 rafe52018 iner7952017/5101-2018 200 ssr200 624-2018 1960036696 70000 rz200 a aeezo1e suschargeeaocti79c17 770 119420 csreien oaey2018 ups/menarza189sasso/tio sunso so000 160420,Bank Statement
Bank Statement,13.jpg,dataset\Bank Statement\13.jpg,"‘Statement Criteria
‘Account Title a ,

‘Account Humber 205¢ 4
From (August 01, 2018) To Ganuary 15, 2019)

‘Transactions Made
Sito. Date Description Currency Debit Credit
Saturday, August 04,
"" ‘SMSChargesQtrJANIS-MARIB+GS TKR wn
2018 4:10 AM
Thursday, August 09,
2 ‘nt.01-05-2018/31-07-2018 me 14.00
2018 5:31 0m
‘Thursday, November
3 Int31-10-2018/01-08-2018 me 14.00

08, 2018 11:14 M

Cancel] |Save’As PDF

[Details til Tuesday, Ja
Balance Amount

1,569.60,

1,583.60,

4,597.60,
","statement criteria account title a , account humber 205 4 from august 01, 2018 to ganuary 15, 2019 transactions made sito. date description currency debit credit saturday, august 04, smschargesqtrjanis-maribgs tkr wn 2018 4:10 am thursday, august 09, 2 nt.01-05-2018/31-07-2018 me 14.00 2018 5:31 0m thursday, november 3 int31-10-2018/01-08-2018 me 14.00 08, 2018 11:14 m cancel saveas pdf details til tuesday, ja balance amount 1,569.60, 1,583.60, 4,597.60,",Bank Statement
Bank Statement,14.jpg,dataset\Bank Statement\14.jpg,"(bank.

P.O. Box 64755

Saint Paul, Minnesota 55164 aoe

03420 «TRG 73 49 18BB5

Wfotasfoobalboccsvel ahs foarfloctatastfealdces ballet
J & R BP ING

1026 16TH ST SE

MILL CREEK WA 98012-1236

Business
Statement
Account Number:
1 535 0195 5634
Statement Period:
Apr. 1, 1999
Through

Apr. 30, 1999

Page 1 of 7

Tor information om your account call ge 244-7770 (Minneapolis/St. Paul) or 1-800-673-3555.

aa oe

Premium Business Checking

Account Summary

Previous Balance
Customer Deposits

Other Withdrawals and Fees

aH
Other Deposits 54
41
7

Checks Paid

New Balance on Apr. 30

Customer Deposits

Date
Apr.
Apr.
Apr.
Apr.
Apr.
Apr.
Apr.
Apr.
Apr.
Apr.
ae
uA
a

Amount Date Amount
546.68 ‘Apr. 12 1,202.20
830.39 Apr. 12 Ve4a a1

1,611.46 Apr. 12 2,918.30

1831.56 ‘Apr. 14 736.08

1,229.09 Apr. 14 4,625.14

1727.37 Apr. 15 3,210.77

2466.67 ‘Apr. 16 933.52

2,647.68 ‘Apr. 16 3,000.10

2,243.55 ‘Apr. 19 1199.34

2'276.20 Apr. 19 1770.85
988.36 Apr, 19 3,023.98

4,021.02 pr. 19 3,003.32
748.72 Apr. 20 2,021.56

LTeo-or Apr. 2u 2,304.76
705.85 Apr. 21 TAT23

Total Customer Deposits

Other Deposits

Date
Apr.

Apr.

Apr.

Apr.

Apr.

a

rey

to

Description

YOUR ELECTRONIC DEPOSIT DEPOSIT 990401
PAYPOINT EPS 1918301493 FAC #51639
PAR#19990913248398.N

YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990401
TOSCO NW 2 PAY 6741149540 30698864
PAR#19990903035184 N

YOUR ELECTRONIC DEPOSIT DEPOSIT 990402
PAYPOINT EPS 1918301493 PAC #51639
PAR#19990923948376 N

YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990402
TOSCO NW 2 PAY 6741149540 30698864
PAR#29990913841711 N

CREDIT LINE ADVANCE FROM 30400102990810998

Number of Items

Date
Apr.
Apr.
Apr.

pr.

pr.
Apr.
Apr.
Apr.
Apr.
ie

re
ee
Apr.

Po ttn

-

at

Amount

10,296.41
79,938.43
105,431.43
148,592.64
38,023.35

9,050.28

Amount
885.57
720.38

1,118.12

1,207.05

1,397.66

Amount

83.60

2,850.53

223.26

2,964.18
3,425.00
","bank. p.o. box 64755 saint paul, minnesota 55164 aoe 03420 trg 73 49 18bb5 wfotasfoobalboccsvel ahs foarfloctatastfealdces ballet j r bp ing 1026 16th st se mill creek wa 98012-1236 business statement account number: 1 535 0195 5634 statement period: apr. 1, 1999 through apr. 30, 1999 page 1 of 7 tor information om your account call ge 244-7770 minneapolis/st. paul or 1-800-673-3555. aa oe premium business checking account summary previous balance customer deposits other withdrawals and fees ah other deposits 54 41 7 checks paid new balance on apr. 30 customer deposits date apr. apr. apr. apr. apr. apr. apr. apr. apr. apr. ae ua a amount date amount 546.68 apr. 12 1,202.20 830.39 apr. 12 ve4a a1 1,611.46 apr. 12 2,918.30 1831.56 apr. 14 736.08 1,229.09 apr. 14 4,625.14 1727.37 apr. 15 3,210.77 2466.67 apr. 16 933.52 2,647.68 apr. 16 3,000.10 2,243.55 apr. 19 1199.34 2276.20 apr. 19 1770.85 988.36 apr, 19 3,023.98 4,021.02 pr. 19 3,003.32 748.72 apr. 20 2,021.56 lteo-or apr. 2u 2,304.76 705.85 apr. 21 tat23 total customer deposits other deposits date apr. apr. apr. apr. apr. a rey to description your electronic deposit deposit 990401 paypoint eps 1918301493 fac 51639 par19990913248398.n your electronic deposit tosco nw 2 990401 tosco nw 2 pay 6741149540 30698864 par19990903035184 n your electronic deposit deposit 990402 paypoint eps 1918301493 pac 51639 par19990923948376 n your electronic deposit tosco nw 2 990402 tosco nw 2 pay 6741149540 30698864 par29990913841711 n credit line advance from 30400102990810998 number of items date apr. apr. apr. pr. pr. apr. apr. apr. apr. ie re ee apr. po ttn - at amount 10,296.41 79,938.43 105,431.43 148,592.64 38,023.35 9,050.28 amount 885.57 720.38 1,118.12 1,207.05 1,397.66 amount 83.60 2,850.53 223.26 2,964.18 3,425.00",Bank Statement
Bank Statement,15.jpg,dataset\Bank Statement\15.jpg,"Bank name

COMPANY NAME AND Address 1

Address 2
LOGO Address 3
SWIFT :
E-mail:
Website :
CUSTOMER NAME
ADDRESS 1
ADDRESS 2
ADDRESS 3
ADDRESS 4
ADDRESS 5
Ref: INB 0000-30001- Customer Id : 01111113
000000 Account No : 4304567890987
Account Type : CURRENT ACCOUNT
Currency : BDT
Issue Date : January 12, 2019

STATEMENT OF ACCOUNT FOR THE PERIOD OF 29-Dec-2018 TO 12-Jan-2019

DATE PARTICULARS WITHDRAW DEPOSIT BALANCE
Balance Forward 0.00 0.00 419.08

Q1-gan-2019  prcr/easy 100.00 0.00 319.08
D/4301201810853001

O1-gan-2019 PRCR/easy. 100.00 0.00 219.08
D/4301201810853001

O1-gan-2019 PRCR/easy. 100.00 0.00 119.08
D/4301201810853001

O1-gan-2019 PRCR/easy 100.00 0.00 19.08
D/4301201810853001

02-Jan-2019 EFT/IC/BANK ASIA/FRD BEFTN 0.00 10,103.66 10,122.74
ACCOUN/ER

02-Jan-2019 PRCR/easy. 100.00 0.00
D/4301201810853001

02-Jan-2019 PRCR/easy. 100.00 0.00 9,922.74
D/4301201810853001

03-Jan-2019 CWDR/MOKKA-MODINA TOWER GE 9,500.00 0.00 422.7
G/4301201810853001

07-Jan-2019 EFT/IC/BANK ASIA/FRD BEFTN 0.00 6,490.89 6,913.63

ACCOUN/FR

CWDR/MOKKA-MODINA TOW er 6,000.00 0.00 913.63
G/4301201810853001
CWDR/MOKKA-MODINA TOWER cr 500.00 0.00 413.63
G/4301201810853001

16, 600.00 16,594.55 413.63

Page 1 of 2
","bank name company name and address 1 address 2 logo address 3 swift : e-mail: website : customer name address 1 address 2 address 3 address 4 address 5 ref: inb 0000-30001- customer id : 01111113 000000 account no : 4304567890987 account type : current account currency : bdt issue date : january 12, 2019 statement of account for the period of 29-dec-2018 to 12-jan-2019 date particulars withdraw deposit balance balance forward 0.00 0.00 419.08 q1-gan-2019 prcr/easy 100.00 0.00 319.08 d/4301201810853001 o1-gan-2019 prcr/easy. 100.00 0.00 219.08 d/4301201810853001 o1-gan-2019 prcr/easy. 100.00 0.00 119.08 d/4301201810853001 o1-gan-2019 prcr/easy 100.00 0.00 19.08 d/4301201810853001 02-jan-2019 eft/ic/bank asia/frd beftn 0.00 10,103.66 10,122.74 accoun/er 02-jan-2019 prcr/easy. 100.00 0.00 d/4301201810853001 02-jan-2019 prcr/easy. 100.00 0.00 9,922.74 d/4301201810853001 03-jan-2019 cwdr/mokka-modina tower ge 9,500.00 0.00 422.7 g/4301201810853001 07-jan-2019 eft/ic/bank asia/frd beftn 0.00 6,490.89 6,913.63 accoun/fr cwdr/mokka-modina tow er 6,000.00 0.00 913.63 g/4301201810853001 cwdr/mokka-modina tower cr 500.00 0.00 413.63 g/4301201810853001 16, 600.00 16,594.55 413.63 page 1 of 2",Bank Statement
Bank Statement,16.jpg,dataset\Bank Statement\16.jpg,"‘Address: DBITower, WTC Complex,
Cufte Parade, Coisbs,
Mumbai 400005, India

Tet 11800-200-4324

Web: www dtbibankin

Account Statement

Your

its

Me. John Citizen ‘Statement Period 1 January 2021 t0 30 June 2021
1 Palam Vihar Marg, ‘Accourt number 065017025604

Chauma Gurgaon, Accoutrame John Ckizen

122017, India Email address Not Recorded

‘Your opening account balance ae st 31 December 2020 ""250,205.26
Your closing accaunt balance as ¢30 tune 2024 12893527

Investment option name Optioncede Units Valk *
First Choice Moderate oe 81609362 19502 15,915.46 as
BT Active Balanced on 7,2177030 23215160343, 236
Perpetual Balanced growth om 7,251.6083 24313 15,455.35 28
First Choice Ufertaged 1900-08 967 16,306.1403 12526 20,425.07 301
‘Account Vale es7.01 3000
Benet type Insourence cover amount® Benefit amoure®
[Amount Paid on Desth or Terminal ness '59.00000 110208.26

‘Amount Paid upon Total and Permenart 5090000 110205.26

Disablement

templates x tmplotis 4 @ © @
x q www.gotempl.com Shotempl.com

End of Statement

","address: dbitower, wtc complex, cufte parade, coisbs, mumbai 400005, india tet 11800-200-4324 web: www dtbibankin account statement your its me. john citizen statement period 1 january 2021 t0 30 june 2021 1 palam vihar marg, accourt number 065017025604 chauma gurgaon, accoutrame john ckizen 122017, india email address not recorded your opening account balance ae st 31 december 2020 250,205.26 your closing accaunt balance as 30 tune 2024 12893527 investment option name optioncede units valk first choice moderate oe 81609362 19502 15,915.46 as bt active balanced on 7,2177030 23215160343, 236 perpetual balanced growth om 7,251.6083 24313 15,455.35 28 first choice ufertaged 1900-08 967 16,306.1403 12526 20,425.07 301 account vale es7.01 3000 benet type insourence cover amount benefit amoure amount paid on desth or terminal ness 59.00000 110208.26 amount paid upon total and permenart 5090000 110205.26 disablement templates x tmplotis 4 x q www.gotempl.com shotempl.com end of statement",Bank Statement
Bank Statement,17.jpg,dataset\Bank Statement\17.jpg,"w BANDHAN BANK LIMITED
BALANCE SHEET ASAT 34 MARCH, 2016
eat iat
beascad 31 March 2016 a1march 2015 __|
‘Unb a) oO
1 10,951410,90 5,910.00,000
A Sup 2 22383 816,202 5.780408
3 120,887,480 01, :
4 30,516475 970
abies and provons s 14,408319,538 252618392
Total 199,157,302,851, 5268,078,798,
and balances wth Reserve Bank of nia 6 302,885,512 101,008
rca wth Banks and Money a al and short nace 7 Baia 4o12.s0a224
westnents 8 97, 580336,328
3 124375461159
assets 10 23228 1,086,120,
Assets in 3,095,190.185 170154635
Toa 399,157,202,851 5.268,878,798 |
bites 2 918.2
for eotecon
t Acorn Plies and Notes to Aces va
ule referred to above form an tga part ofthe Barc Sheet.
per ou esr of even cate
5.R Batol & Associates LLP For Bandhan Bank Limiteg
counts
rm RegitrationNuber: 04049H/E30000¢
/ sy: su
Amit Kaba Dr. A.KcLahirt Chandra Shekhar Ghosh
ret Chairman Managing Director & CEO Deector
0 Number 4533,
‘sie sy.
Indrani Banerjee Suni Samant
‘Company Sexetary het rare fear

","w bandhan bank limited balance sheet asat 34 march, 2016 eat iat beascad 31 march 2016 a1march 2015 unb a oo 1 10,951410,90 5,910.00,000 a sup 2 22383 816,202 5.780408 3 120,887,480 01, : 4 30,516475 970 abies and provons s 14,408319,538 252618392 total 199,157,302,851, 5268,078,798, and balances wth reserve bank of nia 6 302,885,512 101,008 rca wth banks and money a al and short nace 7 baia 4o12.s0a224 westnents 8 97, 580336,328 3 124375461159 assets 10 23228 1,086,120, assets in 3,095,190.185 170154635 toa 399,157,202,851 5.268,878,798 bites 2 918.2 for eotecon t acorn plies and notes to aces va ule referred to above form an tga part ofthe barc sheet. per ou esr of even cate 5.r batol associates llp for bandhan bank limiteg counts rm regitrationnuber: 04049h/e30000 / sy: su amit kaba dr. a.kclahirt chandra shekhar ghosh ret chairman managing director ceo deector 0 number 4533, sie sy. indrani banerjee suni samant company sexetary het rare fear",Bank Statement
Bank Statement,18.jpg,dataset\Bank Statement\18.jpg,"Sng Stored ivace

JPMorgan Shore fetremente Snes apomostsst1 2015107
he thoee
Tm aersineer Fom 1 Deez
Ev STATE, POSTAL CODE or 2, COUNTRY te Sibecame
Page tat
CONTACT: TORONTO CLENT SERVICE 1-8.2445115,
opt 00 noon 51131 Gp Raat
ano CAD (OLA)
Tae Taster Tatar Tega —__Tasasion Baier
Nine Deen oxe Ano ‘rr Oe
ertosonmocniz2——evous SeveeChage 1 Nor2018 wose
Tees PamretReceves 2 De 2016 ase o
oerroemneocni2s cane Senn Charge 3 e201 sua ate
ToaiDi2cAD ate
=a (Passe Dash and Re Thi Porton cline win Payne)
Catone ane ‘80 Coneany
TostAmo Ove (CAD) a8 voor Dae 1 Dee201¢
Payne Die Oe stamane

ACH Ws payment: ABA o200002"" Aesunt 14088500
(Peseta you mn urbe a act narbet

PMORGAY CHASE BANENA
{2a CHASE STREET
IY. STATE. POSTAL CODE er 2P, COUNTRY
","sng stored ivace jpmorgan shore fetremente snes apomostsst1 2015107 he thoee tm aersineer fom 1 deez ev state, postal code or 2, country te sibecame page tat contact: toronto clent service 1-8.2445115, opt 00 noon 51131 gp raat ano cad ola tae taster tatar tega tasasion baier nine deen oxe ano rr oe ertosonmocniz2evous seveechage 1 nor2018 wose tees pamretreceves 2 de 2016 ase o oerroemneocni2s cane senn charge 3 e201 sua ate toaidi2cad ate a passe dash and re thi porton cline win payne catone ane 80 coneany tostamo ove cad a8 voor dae 1 dee201 payne die oe stamane ach ws payment: aba o200002 aesunt 14088500 peseta you mn urbe a act narbet pmorgay chase banena 2a chase street iy. state. postal code er 2p, country",Bank Statement
